Timestamp,Score,What grade level are you?,How often do you feel positive in school?,How often do you feel supported by your teachers and advisors?,How often do you feel listened to by your teachers and advisors?,How often do you feel listened to and supported by your friends?,How do you feel you are managing the workload?,To what extent do you feel the workload is making you feel stressed?,"Overall, how do you feel about the first few months of school?"
5/22/2025 13:53:45,,7,8,10,10,8,5,5,5
5/22/2025 13:56:34,,7,7,3,6,7,4,6,8
5/22/2025 13:57:28,,7,8,9,10,8,7,6,10
5/22/2025 13:57:28,,7,10,7,8,8,5,5,7
5/22/2025 13:57:49,,10,5,5,5,7,3,2,5
5/22/2025 14:07:16,,7,8,9,9,7,9,7,8
5/22/2025 16:39:12,,7,6,8,8,9,4,8,5
5/22/2025 16:58:05,,10,8,10,10,10,8,7,9
5/22/2025 18:18:44,,7,7,1,1,8,7,4,4
5/22/2025 18:53:15,,9,10,5,6,4,2,9,1
5/22/2025 21:06:44,,8,8,8,8,9,6,9,7
5/22/2025 21:31:14,,7,6,7,7,6,5,5,5
5/22/2025 22:00:23,,7,8,8,9,9,8,5,8
5/22/2025 23:16:55,,,,,,,,8,8
5/22/2025 23:51:48,,8,10,10,10,10,8,7,9
5/23/2025 7:46:00,,,,,,,,,8
5/24/2025 21:35:09,,7,4,5,7,6,6,8,8
5/26/2025 8:22:25,,7,7,7,7,8,7,8,7
5/26/2025 13:50:50,,8,8,5,3,9,3,3,6
5/26/2025 13:51:19,,8,8,8,8,8,8,8,8
5/26/2025 13:51:34,,8,7,7,7,9,7,7,7
5/26/2025 13:53:03,,8,9,7,7,10,10,9,10
5/28/2025 4:29:47,,6,,10,10,10,10,10,10
5/28/2025 13:58:17,,9,7,8,8,9,7,6,8
5/28/2025 13:58:17,,9,6,8,9,9,8,4,8
5/28/2025 13:58:21,,9,9,9,9,9,9,2,9
5/28/2025 13:58:56,,9,7,7,8,10,8,9,8
5/28/2025 14:01:59,,9,9,9,9,5,9,9,7
5/28/2025 14:02:23,,9,9,9,9,9,9,9,6
5/28/2025 14:02:25,,9,8,7,7,9,7,7,8
5/28/2025 14:07:15,,9,10,10,9,9,8,7,9
5/28/2025 14:14:23,,9,9,9,9,9,9,9,9
5/28/2025 23:13:05,,7,8,5,5,7,8,6,6
5/29/2025 21:25:08,,7,8,8,8,10,4,2,7
5/31/2025 11:53:05,,7,10,10,10,10,10,10,10
