Timestamp,Score,What grade level are you?,How often do you feel positive in school?,How often do you feel supported by your teachers and advisors?,How often do you feel listened to by your teachers and advisors?,How often do you feel listened to and supported by your friends?,How do you feel you are managing the workload?,To what extent do you feel the workload is making you feel stressed?,"Overall, how do you feel about the first few months of school?",Middle school only: What could be improved to make the Mindful Moment more useful or engaging for you?,High school only: What could be improved to make the Mindful Moment more useful or engaging for you?
2/19/2025 7:56:46,0 / 2,11,9,10,10,10,7,8,9,,I think it is now rly gud!
2/19/2025 7:56:56,0 / 2,11,7,9,9,8,6,8,8,,
2/19/2025 7:57:06,0 / 2,8,4,6,6,10,4,1,3,,"Nothing should be changed.
"
2/19/2025 7:57:07,0 / 2,9,8,8,10,9,9,9,8,,its great keep it the same as it is
2/19/2025 7:57:19,0 / 2,11,8,9,8,8,9,3,8,,Work more
2/19/2025 7:57:20,0 / 2,11,8,10,8,8,7,5,8,,I don't feel needing it so I don't know
2/19/2025 7:57:23,0 / 2,8,6,9,8,9,7,4,7,nothing,
2/19/2025 7:57:25,0 / 2,11,6,6,6,6,6,6,6,,
2/19/2025 7:57:28,0 / 2,8,8,8,8,8,8,8,8,It's already very good the way it is. :))))))))))),
2/19/2025 7:57:32,0 / 2,9,8,9,9,9,5,4,7,,
2/19/2025 7:57:35,0 / 2,8,8,7,7,9,5,4,7,I think it can just be like this,
2/19/2025 7:57:36,0 / 2,8,7,7,8,8,5,9,6,I'm not sure,
2/19/2025 7:57:40,0 / 2,8,1,7,6,7,3,1,3,"I like the mindful moment, but it's just that I can't apply it into real life :)",
2/19/2025 7:57:41,0 / 2,8,5,8,8,9,2,3,2,n/a,
2/19/2025 7:57:50,0 / 2,10,10,10,10,10,10,8,8,,none
2/19/2025 7:57:53,0 / 2,11,6,6,6,7,6,8,5,,
2/19/2025 7:57:59,0 / 2,8,8,5,5,8,2,2,7,nahhhh,
2/19/2025 7:58:09,0 / 2,8,7,7,7,8,6,3,8,I am not sure,
2/19/2025 7:58:10,0 / 2,9,4,5,5,4,9,7,4,,
2/19/2025 7:58:15,0 / 2,11,7,8,7,7,6,4,5,,funi jokes i guess
2/19/2025 7:58:27,0 / 2,8,5,8,9,9,5,3,6,How it could be apply to real life.,
2/19/2025 7:58:27,0 / 2,11,6,8,8,10,7,7,6,,Nothing
2/19/2025 7:58:37,0 / 2,8,7,8,8,5,6,5,7,,
2/19/2025 7:58:43,0 / 2,8,8,10,9,10,7,6,8,Make it shorter and somehow more engaging. ,
2/19/2025 7:58:53,0 / 2,9,8,8,8,8,9,9,8,,Nothing for now; the curriculum is good at the outside.
2/19/2025 7:58:55,0 / 2,11,9,9,9,9,7,7,10,,it is good the way it is
2/19/2025 7:58:56,0 / 2,9,10,9,9,7,9,7,9,,
2/19/2025 7:58:57,0 / 2,8,8,8,6,10,7,3,9,,
2/19/2025 7:59:09,0 / 2,9,8,10,9,9,5,4,8,,staying the same is best
2/19/2025 7:59:09,0 / 2,11,5,8,8,8,4,3,5,,nah just keep it at that 
2/19/2025 7:59:17,0 / 2,11,8,10,10,8,5,3,7,,Regularize it more
2/19/2025 7:59:23,0 / 2,8,6,5,5,7,6,8,6,Maybe sleep time?,
2/19/2025 7:59:25,0 / 2,9,8,6,6,5,8,1,7,,
2/19/2025 7:59:28,0 / 2,9,9,9,9,9,7,9,9,,Well I think it's working out well already 
2/19/2025 7:59:33,0 / 2,9,6,4,7,5,4,3,5,,N/A
2/19/2025 7:59:34,0 / 2,9,8,7,9,10,7,10,7,,N/A
2/19/2025 7:59:35,0 / 2,11,7,9,9,8,5,4,6,,
2/19/2025 7:59:43,0 / 2,8,7,6,7,9,8,4,7,more activities,
2/19/2025 7:59:44,0 / 2,9,8,8,9,9,7,7,8,,I think that the length could be a little bit extended.
2/19/2025 7:59:45,0 / 2,11,8,9,8,8,5,3,7,,Honestly maybe have MrCody do it
2/19/2025 8:00:01,0 / 2,11,7,6,7,9,8,8,7,,
2/19/2025 8:00:17,0 / 2,8,4,6,3,8,4,3,7,,
2/19/2025 8:00:18,0 / 2,8,5,5,5,5,7,3,7,,
2/19/2025 8:00:19,0 / 2,9,6,6,7,8,6,10,3,,
2/19/2025 8:00:21,0 / 2,8,7,7,7,9,7,8,7,its ok,
2/19/2025 8:00:27,0 / 2,8,7,7,6,9,7,6,7,It's okay,
2/19/2025 8:00:34,0 / 2,11,8,8,8,10,9,7,8,,"It's great now, I don't think there needs to be any adjustments "
2/19/2025 8:00:38,0 / 2,11,7,6,5,8,6,1,6,,Nothing
2/19/2025 8:00:38,0 / 2,8,6,4,4,6,4,2,7,n/a,
2/19/2025 8:01:02,0 / 2,9,9,8,9,10,10,6,6,,I think its already quite useful already.
2/19/2025 8:01:20,0 / 2,8,7,10,10,8,5,4,9,I don't really know.,
2/19/2025 8:01:22,0 / 2,11,7,7,7,7,10,8,7,,"I think student engagement will be very cool, like I heard from my friends that psych club is helping the school with the mindful lessons in adversary at the start of the year, which I found so so nice. Would be nice if we can replicate that again"
2/19/2025 8:01:37,0 / 2,9,10,10,10,10,8,6,10,.,so i think we could meditate
2/19/2025 8:01:37,0 / 2,11,9,9,9,8,5,7,9,,
2/19/2025 8:01:47,0 / 2,9,8,9,8,8,5,5,7,,some deep talk with all the students may help
2/19/2025 8:01:56,0 / 2,9,8,9,8,9,6,5,7,,I think we could use activities like games in order to relieve stress at the beginning of the week.
2/19/2025 8:02:04,0 / 2,8,7,3,6,10,3,4,6,be actually useful and relatable :),
2/19/2025 8:02:24,0 / 2,8,6,8,9,5,6,3,5,,
2/19/2025 8:03:14,0 / 2,10,8,8,10,8,7,6,8,,"I think the Mindful Moment now is still pretty good, no changes needed."
2/19/2025 8:03:23,0 / 2,11,6,7,8,7,6,3,7,,
2/19/2025 8:03:35,0 / 2,11,8,8,8,8,6,5,3,,5 minutes snooze alarm
2/19/2025 8:04:30,0 / 2,11,6,7,8,9,8,5,7,,
2/19/2025 8:04:42,0 / 2,9,7,8,8,7,6,7,9,,i think it is ok :DDD
2/19/2025 8:05:27,0 / 2,10,7,9,9,7,5,4,5,,
2/19/2025 8:07:04,0 / 2,9,3,7,4,8,2,2,4,,
2/19/2025 8:07:14,0 / 2,9,9,9,7,5,4,8,7,N/A,"The breaths were a little too long; I was struggling to hold my breath in while inhaling and exhaling. Also, advisors should incorporate more mindfulness to the body and not just about breathing."
2/19/2025 8:07:17,0 / 2,9,6,6,7,4,1,2,4,,
2/19/2025 8:08:55,0 / 2,11,6,7,7,6,6,7,7,,
2/19/2025 8:09:47,0 / 2,9,7,9,8,9,6,5,7,,could time management
2/19/2025 8:11:23,0 / 2,9,8,10,9,9,7,3,8,,
2/19/2025 8:13:19,0 / 2,7,8,9,9,8,7,5,7,Make it more active and occasionally include some activities that students can find engaging or able to participate in.,
2/19/2025 8:13:20,0 / 2,8,8,8,8,8,5,4,8,,
2/19/2025 8:13:32,0 / 2,7,8,8,8,8,8,8,8,"I don't like it, it's somehow overwhelmed me.",
2/19/2025 8:13:35,0 / 2,7,6,3,4,6,5,4,5,"It's kinda boring, tbh",
2/19/2025 8:13:45,0 / 2,11,6,7,6,7,6,4,6,,"nothing, right now is okay"
2/19/2025 8:13:58,0 / 2,7,7,9,8,9,5,4,7,I liked the visualizing thing we did this week,
2/19/2025 8:14:17,0 / 2,10,7,8,8,7,5,6,6,,Sleep
2/19/2025 8:14:21,0 / 2,7,5,9,9,5,6,10,4,hmmm nothing its TOO engaging ,.
2/19/2025 8:14:48,0 / 2,7,6,9,10,7,7,4,6,its already pretty useful and engaging sooo yeah,
2/19/2025 8:15:02,0 / 2,7,8,2,3,9,8,4,6,More fun and more interative,
2/19/2025 8:15:06,0 / 2,7,5,6,6,6,5,5,5,"I think it í fine but they are getting a little bit boring so I think some new activities or mini games but overall, mindful moments are fine",
2/19/2025 8:15:15,0 / 2,11,9,10,10,10,8,6,8,,
2/19/2025 8:15:16,0 / 2,7,5,4,4,7,7,4,3,I think the mindful moment is very engaging and interesting and I have no complaints about it. Sometimes I just find it boring but that's my fault for being tired that day.,N/A
2/19/2025 8:15:17,0 / 2,7,8,8,9,6,9,6,8,"Make it more relatable, more realistic because often the instructions are too abstract and its hard to get what point you're trying to make",
2/19/2025 8:15:18,0 / 2,7,8,3,3,8,8,5,7,"Nothing, it's already boring and I'm not really interested in it",
2/19/2025 8:15:45,0 / 2,7,7,,10,9,10,9,8,"maybe make it more relatable and realistic, or a longer Mindful Moment ",
2/19/2025 8:16:02,0 / 2,7,8,7,7,6,5,4,7,"Mindful moments are great, they help us to calm down and think positive. I think we should make some games for the mindful moments.",
2/19/2025 8:16:18,0 / 2,7,8,8,9,9,9,9,9,"I think I have never been interested in meditation and mindful moments much, so overall this experience is a little bit boring and to me, unnecessary. Although, if you let us choose and suggest the mindful moments for you, then I guess my attitude towards mindful moment will improve a bit. ",
2/19/2025 8:16:29,0 / 2,7,5,5,5,9,4,4,5,tbh i think that the mindful moment is not rlly usefull bcs it's filled with ppl laughing and snickering which doesn't help me focus at all. i think that the mindful moment should be silent so ppl can actually reflect and take a moment for themselves. :)),
2/19/2025 8:16:33,0 / 2,7,7,8,8,6,7,6,8,"Mindful moment makes us to even feel more sleepy, so I think it should be something that helps us to be calm, yet still full of energy and not tired. ",
2/19/2025 8:16:34,0 / 2,7,5,8,7,6,5,8,7,"i personally prefer more of a ""how are you feeling"" kind of approach. i think it allows the listener to get a better grip on how they should help the speaker(?) solve their problems. of course this is only possible for one on ones but eh i think it helps the speaker(?) let out their emotions in some way and do self reflection sooooo",
2/19/2025 8:16:34,0 / 2,7,8,6,10,9,9,7,5,"Something that includes lying down because I'm tired?? I can't find a way how these moments can be better because to be honest, I'm not a fan of those ;)",
2/19/2025 8:16:38,0 / 2,7,7,6,6,7,7,6,8,Basically like i would recommed to have like self reflect lesson,n/a
2/19/2025 8:16:42,0 / 2,7,3,8,7,6,2,1,9,Cup of tea,Pikachu
2/19/2025 8:16:44,0 / 2,7,5,7,9,4,4,4,6,More creative + More engaging games that will make us concentrate lol cause some of us was sleepy the whole time and not really concentrated,
2/19/2025 8:17:00,0 / 2,7,8,9,9,8,8,8,8,You could make it like a game,
2/19/2025 8:17:05,0 / 2,7,8,8,8,8,7,3,7,It's already good?,N/A
2/19/2025 8:17:20,0 / 2,7,6,9,9,8,5,5,5,Its too engaging XD,
2/19/2025 8:17:25,0 / 2,7,8,9,9,8,8,8,6,it is already fine,
2/19/2025 8:17:29,0 / 2,11,5,8,8,7,6,5,6,,
2/19/2025 8:24:30,0 / 2,11,9,8,9,9,4,8,8,,More diverse activities during mindful moment time
2/19/2025 8:30:32,0 / 2,11,7,8,8,9,7,4,7,,
2/19/2025 8:40:47,0 / 2,11,9,10,10,9,8,9,9,,
2/19/2025 8:41:05,0 / 2,11,7,10,10,10,6,6,8,,I think it's great the way it is
2/19/2025 9:49:58,0 / 2,10,6,8,8,9,7,5,5,,
2/19/2025 9:52:08,0 / 2,10,8,9,9,8,8,6,8,,"I think it could be shorter and with less calling on individuals to share out. I get why it's done, but we are just really brain dead in the morning."
2/19/2025 9:56:36,0 / 2,10,10,10,10,10,7,8,10,,
2/19/2025 10:27:48,0 / 2,11,9,8,6,7,4,5,9,,Personally I don't think mindful moments being solely breathing practices help so much with my mental status.
2/19/2025 11:18:48,0 / 2,6,8,8,8,7,8,7,8,n/a,
2/19/2025 11:37:23,0 / 2,10,8,9,9,9,7,7,8,,"I think that it is already fine as it is, but perhaps incorporating physical activity would make it seem less like sleeping and more like practicing mindfulness?"
2/19/2025 11:55:33,0 / 2,11,8,9,9,9,7,8,8,,n/a
2/19/2025 13:24:14,0 / 2,6,7,5,5,7,6,6,7,I want the mindful moment to be shorter,
2/19/2025 13:25:04,0 / 2,6,,8,8,5,5,5,8,"I don't have any ideas about it, but I think that what you are doing is already helpful.",
2/19/2025 13:49:58,0 / 2,6,8,8,10,8,8,8,10,idk,
2/19/2025 13:50:15,0 / 2,6,8,9,9,8,9,8,9,More fun,
2/19/2025 13:50:59,0 / 2,6,10,10,10,10,10,10,10,,
2/19/2025 13:51:46,0 / 2,6,9,8,6,9,4,4,9,it's all great and there is no need to change,
2/19/2025 13:52:06,0 / 2,6,9,9,10,8,9,4,9,Nothing much to improve,
2/19/2025 13:52:11,0 / 2,6,10,6,7,9,4,2,8,more interacting,
2/19/2025 13:52:58,0 / 2,6,9,8,9,4,8,7,10,Can we have some more offline games,no
2/19/2025 13:53:09,0 / 2,6,8,8,8,8,8,,8,Chill,I'm not high schooler
2/19/2025 13:53:21,0 / 2,6,8,9,9,6,10,10,10,We could do a exercise like Simon says BEFORE the mindful moment so that we will be more active about our thinking.,
2/19/2025 13:53:55,0 / 2,6,8,9,9,9,7,6,8,maybe some music?,
2/19/2025 13:54:12,0 / 2,6,5,8,8,10,5,5,7,I think we should have like more diverse ways to make students feel engaged in mindful moments.,
2/19/2025 13:54:21,0 / 2,6,6,6,6,6,6,3,5,Suggestion: you should make the Mindful Moment more engaging and diverse to let students actually feel better about themselves and reassure a better Monday,
2/19/2025 13:54:25,0 / 2,6,7,7,7,5,6,3,5,i want the mindful moment to be more relaxed. like just close our eyes and maybe lay down,
2/19/2025 13:54:28,0 / 2,6,8,9,9,8,8,6,9,i don't think it needs improvements,
2/19/2025 13:54:32,0 / 2,6,8,10,9,9,8,1,8,"I think right now it is very great, I don't think we need to add or change any thing!",
2/19/2025 13:54:56,0 / 2,6,7,8,9,8,9,8,8,Including more games that can help students have a mindfulness moment.,
2/19/2025 13:55:12,0 / 2,6,8,9,9,8,4,4,9,I think some meditation music would make the Mindful Moment more useful and engaging for me,
2/19/2025 13:55:56,0 / 2,6,7,8,9,10,7,6,8,"What could be improved about the Mindful Moment is if we could focus on handling studies because people might be feeling stressed about it. Overall, I think the Mindful Moment is very helpful and relaxing, a great start to the day.",
2/19/2025 13:56:37,0 / 2,6,7,8,7,9,8,7,8,"The mindful moment that I felt the most engaging is just taking box breathing. Although it's simple, it could help e feel muchhh betterr",
2/19/2025 13:58:14,0 / 2,6,10,5,8,10,7,6,10,"Overall, I think the mindful moments are really helpful and that it usually boosts my mood for the day. However, more things couls be put into action to make it a bit more affective. For instance, I believe we could incorporate a few new and unique ideas that could just keep our mind off school for a second. It could be things like a small game activity because, for me, it really would help if I were able to focus on a fun thing instead of stressing out about undone homework or the next class. =))) ",
2/19/2025 14:07:08,0 / 2,7,10,10,10,7,7,6,10,"Nah its really good already, just keep it the same way as it was",.
2/19/2025 14:11:20,0 / 2,6,10,9,10,9,9,9,10,,
2/19/2025 14:36:44,0 / 2,11,6,7,8,7,10,5,7,,
2/19/2025 15:17:10,0 / 2,10,8,8,8,8,8,8,,n/a,I think ít's very good as it is
2/19/2025 16:08:50,0 / 2,10,8,9,9,9,8,7,8,,Maybe add some music and meditation?
2/19/2025 17:13:15,0 / 2,6,10,10,10,8,10,9,9,"i hope the way its expressed and the actions then to be a bit funner, and maybe not being stuck in a yoga room filled with the smell of rubber",
2/19/2025 17:33:30,0 / 2,8,8,9,9,9,10,10,5,nothing it's good enough,
2/19/2025 19:36:26,0 / 2,6,10,9,9,5,8,9,10,I don't know but maybe we can engage more or make the moments more cool and funny,
2/19/2025 21:04:39,0 / 2,8,7,9,6,1,2,8,8,"I think the mindful moment should be a bit more fun (like Viet Bach's one), or it should be shorter, because my friends keep falling asleep...",N/A
2/20/2025 13:40:44,0 / 2,10,8,10,10,10,8,7,8,,"I really enjoy the idea of mindful moments! However it'd be nice if those who do the mindful moments could keep the pacing slow and serious instead of trying to be sarcastic, funny and goofing around. I also would not mind if we extend the time for mindful moments outside just the usual 1-2 minutes, since we usually have 5 minutes of early dismissal, because personally, it really helps calm and slow me down to get started for the day."
2/20/2025 13:54:17,0 / 2,9,5,9,9,8,5,2,5,,less laughs and more formal Mindful Moements
2/20/2025 14:01:52,0 / 2,6,9,10,10,9,8,6,9,"Althought the mindful moments have been really great and opened a fresh start to the week, I do think you could include some more activities to make it more eengaging to the students",
2/20/2025 14:01:57,0 / 2,6,8,9,9,8,8,8,9,it could be more effectively-until now i still dont feel i changed about my mind,
2/20/2025 14:02:38,0 / 2,6,8,9,9,8,6,3,8,I think we should include more activities and fun tips so that we could easily achieve it. ,
2/20/2025 14:02:54,0 / 2,6,8,7,10,7,7,6,9,Maybe we could make it cool and engaging like games.,
2/20/2025 14:03:46,0 / 2,6,8,9,9,9,7,8,9,"To make the Mindful Moment more enjoyable and engaging for me, I’d love for it to be more interactive—maybe with a quick challenge or a fun breathing exercise. It would be great if it felt more personal, like taking a moment to reflect on something I’m grateful for or setting a small goal for the day. Adding calming visuals or relaxing music could also make it more peaceful. I think keeping it short and meaningful would make it feel like a refreshing break rather than just another task. 😍😉😘",
2/20/2025 19:35:09,0 / 2,6,5,10,9,4,3,5,10,I think there should be more different people to do mindful moment instead of just ms. Niamh.,
2/21/2025 8:23:32,0 / 2,9,6,9,7,6,3,10,7,,Give it a purpose
2/21/2025 9:34:50,0 / 2,6,9,10,8,10,8,8,9,"it is okay for now, it is really great, I feel refresh after the mindful moments.",
2/24/2025 14:15:29,0 / 2,11,6,8,8,8,5,4,6,,We could add some music to better relaxed during mindful moment 
