Timestamp,Score,What grade level are you?,How often do you feel positive in school?,How often do you feel supported by your teachers and advisors?,How often do you feel listened to by your teachers and advisors?,How often do you feel listened to and supported by your friends?,How do you feel you are managing the workload?,To what extent do you feel the workload is making you feel stressed?,"Overall, how do you feel about the first few months of school?"
11/27/2024 7:55:21,,9,6,6,5,8,4,8,6
11/27/2024 7:55:25,,6,6,8,9,8,9,6,8
11/27/2024 7:55:26,,9,8,9,10,8,7,8,9
11/27/2024 7:55:33,,10,6,9,9,7,8,4,5
11/27/2024 7:55:34,,9,8,8,8,7,7,7,8
11/27/2024 7:55:44,,9,7,6,8,5,10,5,6
11/27/2024 7:55:48,,9,8,7,7,8,7,5,8
11/27/2024 7:55:49,,11,10,9,9,10,6,4,7
11/27/2024 7:55:51,,7,9,10,10,8,7,5,9
11/27/2024 7:55:52,,11,6,8,10,8,6,4,6
11/27/2024 7:55:52,,9,9,9,8,10,8,6,9
11/27/2024 7:55:58,,11,5,8,8,8,8,5,5
11/27/2024 7:55:58,,9,8,7,7,8,8,8,7
11/27/2024 7:56:03,,6,7,8,7,7,6,5,8
11/27/2024 7:56:05,,6,8,8,8,6,7,6,9
11/27/2024 7:56:08,,11,8,9,8,8,5,8,8
11/27/2024 7:56:11,,6,8,8,9,7,9,6,9
11/27/2024 7:56:12,,9,8,9,9,8,7,6,8
11/27/2024 7:56:14,,11,6,8,8,7,9,4,5
11/27/2024 7:56:26,,6,8,8,8,10,6,8,9
11/27/2024 7:56:34,,9,3,4,5,7,7,10,5
11/27/2024 7:56:38,,9,7,8,9,8,7,2,5
11/27/2024 7:56:39,,11,8,9,9,9,10,10,10
11/27/2024 7:56:43,,9,6,7,8,10,4,3,4
11/27/2024 7:56:44,,7,8,7,8,8,6,7,5
11/27/2024 7:56:52,,6,9,10,9,9,9,10,10
11/27/2024 7:56:54,,9,9,10,10,,9,3,8
11/27/2024 7:56:56,,6,9,10,10,8,9,8,10
11/27/2024 7:57:06,,7,8,9,9,7,,8,9
11/27/2024 7:57:09,,10,8,9,9,9,4,3,5
11/27/2024 7:57:09,,10,8,8,8,7,5,5,7
11/27/2024 7:57:13,,10,9,10,10,10,8,9,10
11/27/2024 7:57:25,,6,7,8,8,2,6,7,4
11/27/2024 7:57:25,,10,7,9,9,8,10,3,5
11/27/2024 7:57:26,,6,6,8,8,10,5,5,9
11/27/2024 7:57:29,,11,5,6,7,9,6,10,7
11/27/2024 7:57:35,,6,8,7,7,10,10,10,
11/27/2024 7:57:38,,6,7,8,9,10,7,1,8
11/27/2024 7:57:50,,11,8,7,7,8,7,3,6
11/27/2024 7:58:02,,6,9,10,9,9,7,9,10
11/27/2024 7:58:02,,11,6,8,9,8,6,4,6
11/27/2024 7:58:05,,9,7,8,10,10,8,4,5
11/27/2024 7:58:09,,6,7,6,6,8,7,7,9
11/27/2024 7:58:10,,6,7,7,8,7,7,5,7
11/27/2024 7:58:16,,7,7,7,7,7,7,7,7
11/27/2024 7:58:35,,11,7,9,7,9,8,8,9
11/27/2024 7:58:38,,6,9,8,8,9,7,7,10
11/27/2024 7:58:42,,11,6,8,7,9,6,6,7
11/27/2024 7:58:48,,7,8,9,9,7,5,4,4
11/27/2024 7:59:01,,7,8,9,7,9,6,5,8
11/27/2024 7:59:02,,10,7,5,6,7,5,4,5
11/27/2024 7:59:20,,7,8,7,3,9,8,8,8
11/27/2024 7:59:24,,7,9,8,3,9,7,4,9
11/27/2024 7:59:48,,6,7,8,7,6,6,4,9
11/27/2024 7:59:55,,7,8,9,7,7,6,4,8
11/27/2024 7:59:58,,7,8,7,7,6,5,5,7
11/27/2024 8:00:00,,7,7,8,6,2,4,5,4
11/27/2024 8:00:13,,11,4,4,3,4,9,1,5
11/27/2024 8:00:36,,8,5,9,9,8,4,2,6
11/27/2024 8:01:06,,11,5,8,8,4,4,4,6
11/27/2024 8:01:35,,7,5,8,9,4,7,7,6
11/27/2024 8:02:35,,7,5,8,9,7,6,5,6
11/27/2024 8:02:48,,7,5,10,10,7,5,5,7
11/27/2024 8:02:55,,7,9,10,10,10,8,8,8
11/27/2024 8:03:19,,7,8,8,8,7,9,7,8
11/27/2024 8:03:41,,7,3,7,7,4,4,3,4
11/27/2024 8:03:53,,7,7,6,7,8,6,2,7
11/27/2024 8:03:55,,7,6,8,8,8,5,4,7
11/27/2024 8:04:32,,7,8,9,8,7,7,3,6
11/27/2024 8:04:46,,7,6,6,6,8,6,4,6
11/27/2024 8:04:50,,7,8,9,9,8,8,3,8
11/27/2024 8:04:53,,7,8,10,10,5,8,5,8
11/27/2024 8:05:14,,7,7,6,6,6,8,2,9
11/27/2024 8:13:30,,11,5,5,8,7,4,4,5
11/27/2024 8:25:47,,7,8,10,10,10,7,6,8
11/27/2024 8:26:50,,11,9,10,10,10,7,4,8
11/27/2024 8:33:37,,11,10,10,10,10,10,10,10
11/27/2024 8:35:24,,11,8,9,9,9,7,8,9
11/27/2024 8:38:26,,11,6,7,7,7,4,4,5
11/27/2024 9:14:01,,11,7,10,10,9,8,7,9
11/27/2024 9:16:22,,11,7,9,,8,5,6,7
11/27/2024 9:23:23,,9,7,7,6,4,8,4,6
11/27/2024 9:26:27,,11,6,7,7,9,6,2,5
11/27/2024 9:57:01,,6,9,8,9,10,7,8,8
11/27/2024 10:03:13,,9,4,6,6,7,4,7,4
11/27/2024 10:34:39,,11,8,7,8,10,7,9,8
11/27/2024 10:52:44,,10,10,10,10,10,4,1,8
11/27/2024 11:14:51,,6,8,8,8,9,6,,10
11/27/2024 11:15:28,,11,5,8,7,9,7,4,6
11/27/2024 11:53:19,,11,9,8,9,10,8,9,8
11/27/2024 11:54:34,,6,8,9,9,7,8,4,8
11/27/2024 12:24:05,,8,7,6,7,7,7,6,7
11/27/2024 13:17:30,,9,7,6,10,7,4,7,7
11/27/2024 13:58:47,,6,10,9,10,10,8,9,10
11/27/2024 14:02:57,,6,8,10,9,7,8,8,9
11/27/2024 14:12:48,,6,7,10,8,3,2,5,8
11/27/2024 16:29:04,,8,7,7,7,8,4,3,8
11/27/2024 16:54:35,,6,10,10,10,9,10,10,10
11/27/2024 16:59:48,,8,5,8,7,9,6,6,5
11/27/2024 17:13:55,,8,9,8,8,10,8,8,9
11/27/2024 17:25:41,,8,9,9,8,10,6,7,9
11/27/2024 18:37:48,,8,8,7,7,8,7,8,8
11/27/2024 19:26:39,,8,6,8,7,7,6,4,8
11/27/2024 23:34:10,,8,5,6,6,8,7,3,5
11/28/2024 7:59:08,,10,7,8,8,7,9,7,9
11/28/2024 9:27:42,,8,7,5,4,8,6,7,7
11/28/2024 9:34:25,,8,,8,7,8,6,8,7
11/28/2024 20:01:18,,8,8,10,10,10,6,6,10
11/28/2024 21:43:45,,8,8,10,7,7,6,8,7
11/28/2024 22:08:30,,10,5,7,7,9,5,3,5
11/29/2024 7:54:10,,6,9,10,10,9,6,6,8
11/29/2024 7:54:52,,6,8,7,7,9,8,9,9
11/29/2024 7:55:23,,6,10,10,10,9,9,3,10
11/29/2024 7:55:27,,6,8,8,8,9,6,7,8
11/29/2024 7:55:41,,6,9,9,9,7,8,8,10
11/29/2024 7:56:08,,6,9,10,10,10,8,9,10
11/29/2024 7:56:16,,6,9,9,9,10,6,5,8
11/29/2024 8:07:15,,6,6,10,9,3,8,6,7
11/30/2024 9:56:33,,8,7,8,8,7,6,4,7
11/30/2024 15:57:53,,10,7,7,8,10,6,3,7
12/4/2024 7:56:53,,9,7,6,7,9,6,3,5
12/6/2024 13:43:12,,11,8,10,10,10,6,5,6
12/9/2024 14:12:27,,8,8,10,10,10,9,8,10
12/9/2024 14:13:10,,8,7,2,4,10,7,5,8
12/9/2024 14:13:20,,8,3,8,7,5,4,4,3
12/9/2024 14:14:19,,8,7,8,9,8,7,7,7
12/10/2024 13:49:54,,9,4,9,8,6,4,8,7
12/10/2024 13:49:38,,9,8,9,9,7,6,5,9
12/10/2024 13:50:50,,9,5,5,5,5,5,5,6
12/10/2024 13:50:53,,9,8,9,9,7,7,9,8
12/10/2024 13:52:30,,9,8,8,8,6,9,8,8
12/10/2024 13:58:08,,9,9,10,10,10,9,9,9
12/10/2024 13:58:15,,9,8,9,9,8,5,5,8
12/10/2024 14:16:51,,8,5,5,5,9,5,3,4
12/10/2024 22:42:14,,9,3,5,5,2,2,2,1
12/11/2024 7:55:38,,8,9,10,10,10,7,8,9
